enumeration_category,enumeration_name,value,v1_2,v2_1,v3_0
Tag,(Reserved),420093,N,N,Y
Tag,(Reserved),4200AC,N,N,Y
Tag,(Reserved),4200D4 – 42FFFF,Y,N,N
Tag,(Reserved),42013E,N,Y,Y
Tag,(Reserved),42013F,N,Y,Y
Tag,(Reserved),420XXX – 42FFFF,N,Y,Y
Tag,(Unused),000000 - 420000,Y,Y,Y
Tag,(Unused),430000 – 53FFFF,Y,Y,Y
Tag,(Unused),550000 - FFFFFF,Y,Y,Y
Tag,Activation Date,420001,Y,Y,Y
Tag,Adjustment Type,420158,N,Y,Y
Tag,Adjustment Value,420162,N,Y,Y
Tag,Alternate Failover Endpoints,420135,N,Y,Y
Tag,Alternative Name,4200BF,Y,Y,Y
Tag,Alternative Name Type,4200C1,Y,Y,Y
Tag,Alternative Name Value,4200C0,Y,Y,Y
Tag,Always Sensitive,420121,N,Y,Y
Tag,Application Data,420002,Y,Y,Y
Tag,Application Namespace,420003,Y,Y,Y
Tag,Application Specific Information,420004,Y,Y,Y
Tag,Archive Date,420005,Y,Y,Y
Tag,Asynchronous Capability,4200F0,N,Y,Y
Tag,Asynchronous Correlation Value,420006,Y,Y,Y
Tag,Asynchronous Correlation Values,0x420176,N,Y,Y
Tag,Asynchronous Indicator,420007,Y,Y,Y
Tag,Asynchronous Request,0x420173,N,Y,Y
Tag,Attestation Assertion,4200CC,Y,Y,Y
Tag,Attestation Capability,4200F1,N,Y,Y
Tag,Attestation Capable Indicator,4200D3,Y,Y,Y
Tag,Attestation Measurement,4200CB,Y,Y,Y
Tag,Attestation Type,4200C7,Y,Y,Y
Tag,Attribute,420008,Y,Y,Y
Tag,Attribute Index,420009,Y,N,N
Tag,Attribute Name,42000A,Y,Y,Y
Tag,Attribute Reference,42013B,N,Y,Y
Tag,Attribute Value,42000B,Y,Y,Y
Tag,Attributes,420125,N,Y,Y
Tag,Authenticated Encryption Tag,4200FF,N,Y,Y
Tag,AuthenticatedEncryption Additional Data,4200FE,N,Y,Y
Tag,Authentication,42000C,Y,Y,Y
Tag,Batch Continue Capability,4200FA,N,Y,Y
Tag,Batch Count,42000D,Y,Y,N
Tag,Batch Error Continuation Option,42000E,Y,Y,Y
Tag,Batch Item,42000F,Y,Y,Y
Tag,Batch Order Option,420010,Y,Y,N
Tag,Batch Undo Capability,4200F9,N,Y,Y
Tag,Block Cipher Mode,420011,Y,Y,Y
Tag,Build Date,420133,N,Y,Y
Tag,Build Level,420132,N,Y,Y
Tag,Cancellation Result,420012,Y,Y,Y
Tag,Capability Information,4200F7,N,Y,Y
Tag,Certificate,420013,Y,Y,Y
Tag,Certificate Identifier,420014(deprecated as of version 1.1),Y,N,N
Tag,Certificate Issuer,420015(deprecated as of version 1.1),Y,N,N
Tag,Certificate Issuer Alternative Name,420016(deprecated as of version 1.1),Y,N,N
Tag,Certificate Issuer C,420118,N,Y,Y
Tag,Certificate Issuer CN,420114,N,Y,Y
Tag,Certificate Issuer DC,42011E,N,Y,Y
Tag,Certificate Issuer Distinguished Name,420017(deprecated as of version 1.1),Y,N,N
Tag,Certificate Issuer DN,0x4201BB,N,N,Y
Tag,Certificate Issuer DN Qualifier,42011F,N,Y,Y
Tag,Certificate Issuer Email,420117,N,Y,Y
Tag,Certificate Issuer L,42011A,N,Y,Y
Tag,Certificate Issuer O,420115,N,Y,Y
Tag,Certificate Issuer OU,420116,N,Y,Y
Tag,Certificate Issuer Serial Number,42011C,N,Y,Y
Tag,Certificate Issuer ST,420119,N,Y,Y
Tag,Certificate Issuer Title,42011D,N,Y,Y
Tag,Certificate Issuer UID,42011B,N,Y,Y
Tag,Certificate Length,4200AD,Y,Y,Y
Tag,Certificate Link,0x420190,N,N,Y
Tag,Certificate Request,420018,Y,Y,Y
Tag,Certificate Request Link,0x4201BC,N,N,Y
Tag,Certificate Request Type,420019,Y,Y,Y
Tag,Certificate Request Unique Identifier,420139,N,Y,Y
Tag,Certificate Request Value,420140,N,Y,Y
Tag,Certificate Serial Number,4200AF,Y,Y,Y
Tag,Certificate Subject,42001A(deprecated as of version 1.1),Y,N,N
Tag,Certificate Subject Alternative Name,42001B(deprecated as of version 1.1),Y,N,N
Tag,Certificate Subject C,42010C,N,Y,Y
Tag,Certificate Subject CN,420108,N,Y,Y
Tag,Certificate Subject DC,420112,N,Y,Y
Tag,Certificate Subject Distinguished Name,42001C(deprecated as of version 1.1),Y,N,N
Tag,Certificate Subject DN,0x4201BA,N,N,Y
Tag,Certificate Subject DN Qualifier,420113,N,Y,Y
Tag,Certificate Subject Email,42010B,N,Y,Y
Tag,Certificate Subject L,42010E,N,Y,Y
Tag,Certificate Subject O,420109,N,Y,Y
Tag,Certificate Subject OU,42010A,N,Y,Y
Tag,Certificate Subject Serial Number,420110,N,Y,Y
Tag,Certificate Subject ST,42010D,N,Y,Y
Tag,Certificate Subject Title,420111,N,Y,Y
Tag,Certificate Subject UID,42010F,N,Y,Y
Tag,Certificate Type,42001D,Y,Y,Y
Tag,Certificate Value,42001E,Y,Y,Y
Tag,Certify Counter,0x4201BD,N,N,Y
Tag,Child Link,0x420191,N,N,Y
Tag,Client Correlation Value,420105,N,Y,Y
Tag,Client Registration Method,4200F6,N,Y,Y
Tag,Cluster Info,420134,N,Y,Y
Tag,Comment,4200FD,N,Y,Y
Tag,Common Attributes,420126,N,Y,Y
Tag,Common Protection Storage Masks,420163,N,Y,Y
Tag,Common Template-Attribute,42001F,Y,N,N
Tag,Compromise Date,420020,Y,Y,N
Tag,Compromise Occurrence Date,420021,Y,Y,Y
Tag,CompromiseDate,420020,N,N,Y
Tag,Constraint,420169,N,Y,Y
Tag,Constraints,420168,N,Y,Y
Tag,Contact Information,420022,Y,Y,Y
Tag,Correlation Value,4200D6,N,Y,Y
Tag,Counter Length,4200D0,Y,Y,Y
Tag,Credential,420023,Y,Y,Y
Tag,Credential Information,0x4201B2,N,N,Y
Tag,Credential Link,0x4201A0,N,N,Y
Tag,Credential Type,420024,Y,Y,Y
Tag,Credential Value,420025,Y,Y,Y
Tag,Criticality Indicator,420026,Y,Y,Y
Tag,CRT Coefficient,420027,Y,Y,Y
Tag,Cryptographic Algorithm,420028,Y,Y,Y
Tag,Cryptographic Domain Parameters,420029,Y,Y,Y
Tag,Cryptographic Length,42002A,Y,Y,Y
Tag,Cryptographic Parameters,42002B,Y,Y,Y
Tag,Cryptographic Usage Mask,42002C,Y,Y,Y
Tag,Current Attribute,42013C,N,Y,Y
Tag,Custom Attribute,42002D,Y,N,N
Tag,D,42002E,Y,Y,Y
Tag,Data,4200C2,Y,Y,Y
Tag,Data Length,4200C4,Y,Y,Y
Tag,Deactivation Date,42002F,Y,Y,Y
Tag,Deactivation Message,0x4201B7,N,N,Y
Tag,Deactivation Reason,0x4201B8,N,N,Y
Tag,Deactivation Reason Code,0x4201B9,N,N,Y
Tag,Decrypt Counter,0x4201BE,N,N,Y
Tag,Defaults Information,420152,N,Y,Y
Tag,Derivation Data,420030,Y,Y,Y
Tag,Derivation Method,420031,Y,Y,Y
Tag,Derivation Object Link,0x420192,N,N,Y
Tag,Derivation Parameters,420032,Y,Y,Y
Tag,Derived Object Link,0x420193,N,N,Y
Tag,Description,4200FC,N,Y,Y
Tag,Destroy Action,4200F3,N,Y,Y
Tag,Destroy Date,420033,Y,Y,Y
Tag,Device Credential,0x4201A6,N,N,Y
Tag,Device Identifier,4200A2,Y,Y,Y
Tag,Device Serial Number,4200B0,Y,Y,Y
Tag,Digest,420034,Y,Y,Y
Tag,Digest Value,420035,Y,Y,Y
Tag,Digested Data,420107,N,Y,Y
Tag,Digital Signature Algorithm,4200AE,Y,Y,Y
Tag,DRBG Algorithm,4200DB,N,Y,Y
Tag,Encoding Option,4200A3,Y,Y,Y
Tag,Encrypt Counter,0x4201BF,N,N,Y
Tag,Encryption Key Information,420036,Y,Y,Y
Tag,Endpoint Role,420151,N,Y,Y
Tag,Ephemeral,420154,N,Y,Y
Tag,Extension Attribute,42012A,N,Y,Y
Tag,Extension Description,42012C,N,Y,Y
Tag,Extension Enumeration,420129,N,Y,Y
Tag,Extension Information,4200A4,Y,Y,Y
Tag,Extension Name,4200A5,Y,Y,Y
Tag,Extension Parent Structure Tag,42012B,N,Y,Y
Tag,Extension Tag,4200A6,Y,Y,Y
Tag,Extension Type,4200A7,Y,Y,Y
Tag,Extensions,540000 – 54FFFF,Y,Y,Y
Tag,Extractable,420122,N,Y,Y
Tag,Final Indicator,4200D8,N,Y,Y
Tag,FIPS186 Variation,4200DC,N,Y,Y
Tag,Fixed Field Length,4200CF,Y,Y,Y
Tag,Fresh,4200A8,Y,Y,Y
Tag,G,420037,Y,Y,Y
Tag,Group Link,0x4201B3,N,N,Y
Tag,Hashed Password,420157,N,Y,Y
Tag,Hashed Password Credential,0x4201AF,N,N,Y
Tag,Hashed Password Username,0x4201B1,N,N,Y
Tag,Hashed Username Password,0x4201B0,N,N,Y
Tag,Hashing Algorithm,420038,Y,Y,Y
Tag,Init Indicator,4200D7,N,Y,Y
Tag,Initial Counter Value,4200D1,Y,Y,Y
Tag,Initial Date,420039,Y,Y,Y
Tag,Initialization Vector,42003A,Y,Y,Y
Tag,Interop Function,420160,N,Y,Y
Tag,Interop Identifier,420161,N,Y,Y
Tag,Invocation Field Length,4200D2,Y,Y,Y
Tag,Issuer,42003B(deprecated as of version 1.1),Y,N,N
Tag,Issuer Alternative Name,4200B1,Y,Y,Y
Tag,Issuer Distinguished Name,4200B2,Y,Y,Y
Tag,Iteration Count,42003C,Y,Y,Y
Tag,IV Length,4200CD,Y,Y,Y
Tag,IV/Counter/Nonce,42003D,Y,Y,Y
Tag,J,42003E,Y,Y,Y
Tag,Joined Split Key Parts Link,0x4201B5,N,N,Y
Tag,Key,42003F,Y,Y,Y
Tag,Key Block,420040,Y,Y,Y
Tag,Key Compression Type,420041,Y,Y,Y
Tag,Key Format Type,420042,Y,Y,Y
Tag,Key Material,420043,Y,Y,Y
Tag,Key Part Identifier,420044,Y,Y,Y
Tag,Key Role Type,420083,Y,Y,Y
Tag,Key Value,420045,Y,Y,Y
Tag,Key Value Location,4200B8,Y,Y,Y
Tag,Key Value Location Type,4200BA,Y,Y,Y
Tag,Key Value Location Value,4200B9,Y,Y,Y
Tag,Key Value Present,4200BB,Y,Y,Y
Tag,Key Wrap Type,4200F8,N,Y,Y
Tag,Key Wrapping Data,420046,Y,Y,Y
Tag,Key Wrapping Specification,420047,Y,Y,Y
Tag,Last Change Date,420048,Y,Y,Y
Tag,Lease Time,420049,Y,Y,Y
Tag,Link,42004A,Y,Y,N
Tag,Link Type,42004B,Y,Y,N
Tag,Linked Object Identifier,42004C,Y,Y,N
Tag,Located Items,4200D5,N,Y,Y
Tag,Log Message,420141,N,Y,Y
Tag,MAC Data,4200C6,Y,Y,Y
Tag,MAC/Signature,42004D,Y,Y,Y
Tag,MAC/Signature Key Information,42004E,Y,Y,Y
Tag,Machine Identifier,4200A9,Y,Y,Y
Tag,Mask Generator,420101,N,Y,Y
Tag,Mask Generator Hashing Algorithm,420102,N,Y,Y
Tag,Maximum Items,42004F,Y,Y,Y
Tag,Maximum Response Size,420050,Y,Y,Y
Tag,Media Identifier,4200AA,Y,Y,Y
Tag,Message Extension,420051,Y,Y,Y
Tag,Modulus,420052,Y,Y,Y
Tag,Name,420053,Y,Y,Y
Tag,Name Type,420054,Y,Y,N
Tag,Name Value,420055,Y,Y,N
Tag,Network Identifier,4200AB,Y,Y,Y
Tag,Never Extractable,420123,N,Y,Y
Tag,New Attribute,42013D,N,Y,Y
Tag,Next Link,0x420194,N,N,Y
Tag,NIST Key Type,42013A,N,Y,Y
Tag,NIST Security Category,0x4201C2,N,N,Y
Tag,Nonce,4200C8,Y,Y,Y
Tag,Nonce ID,4200C9,Y,Y,Y
Tag,Nonce Value,4200CA,Y,Y,Y
Tag,Object Class,0x42019E,N,N,Y
Tag,Object Class Mask,0x42019F,N,N,Y
Tag,Object Defaults,420153,N,Y,Y
Tag,Object Group,420056,Y,Y,N
Tag,Object Group Member,4200AC,Y,Y,N
Tag,Object Groups,420166,N,Y,Y
Tag,Object Type,420057,Y,Y,Y
Tag,Object Types,420167,N,Y,Y
Tag,Objects,42014E,N,Y,Y
Tag,Offset,420058,Y,Y,Y
Tag,Offset Items,4200D4,N,Y,Y
Tag,One Time Password,420156,N,Y,Y
Tag,Opaque Data Type,420059,Y,Y,Y
Tag,Opaque Data Value,42005A,Y,Y,Y
Tag,Opaque Object,42005B,Y,Y,Y
Tag,Operation,42005C,Y,Y,Y
Tag,Operation Policy Name,42005D,Y,N,N
Tag,Operations,42014F,N,Y,Y
Tag,Original Creation Date,4200BC,Y,Y,Y
Tag,OTP Algorithm,0x4201A8,N,N,Y
Tag,OTP Counter,0x4201AE,N,N,Y
Tag,OTP Credential,0x4201A7,N,N,Y
Tag,OTP Digest,0x4201A9,N,N,Y
Tag,OTP Digits,0x4201AD,N,N,Y
Tag,OTP Interval,0x4201AC,N,N,Y
Tag,OTP Seed,0x4201AB,N,N,Y
Tag,OTP Serial,0x4201AA,N,N,Y
Tag,P,42005E,Y,Y,Y
Tag,P Source,420103,N,Y,Y
Tag,Padding Method,42005F,Y,Y,Y
Tag,Parent Link,0x420195,N,N,Y
Tag,Password,4200A1,Y,Y,Y
Tag,Password Credential,0x4201A1,N,N,Y
Tag,Password Link,0x4201A5,N,N,Y
Tag,Password Salt,0x4201A2,N,N,Y
Tag,Password Salt Algorithm,0x4201A3,N,N,Y
Tag,PGP Key,4200BD,Y,Y,Y
Tag,PGP Key Version,4200BE,Y,Y,Y
Tag,PKCS#11 Function,42015A,N,Y,Y
Tag,PKCS#11 Input Parameters,42015B,N,Y,Y
Tag,PKCS#11 Interface,420159,N,Y,Y
Tag,PKCS#11 Output Parameters,42015C,N,Y,Y
Tag,PKCS#11 Return Code,42015D,N,Y,Y
Tag,PKCS#12 Certificate Link,0x420196,N,N,Y
Tag,PKCS#12 Friendly Name,4200FB,N,Y,Y
Tag,PKCS#12 Password Link,0x420197,N,N,Y
Tag,Prediction Resistance,4200DD,N,Y,Y
Tag,Previous Link,0x420198,N,N,Y
Tag,Prime Exponent P,420060,Y,Y,Y
Tag,Prime Exponent Q,420061,Y,Y,Y
Tag,Prime Field Size,420062,Y,Y,Y
Tag,Private Exponent,420063,Y,Y,Y
Tag,Private Key,420064,Y,Y,Y
Tag,Private Key Attributes,420127,N,Y,Y
Tag,Private Key Link,0x420199,N,N,Y
Tag,Private Key Template-Attribute,420065,Y,N,N
Tag,Private Key Unique Identifier,420066,Y,Y,Y
Tag,Private Protection Storage Masks,420164,N,Y,Y
Tag,Process Start Date,420067,Y,Y,Y
Tag,Processing Stage,0x420175,N,Y,Y
Tag,Product Name,420131,N,Y,Y
Tag,Profile Information,4200EB,N,Y,Y
Tag,Profile Name,4200EC,N,Y,Y
Tag,Profile Version,420142,N,Y,Y
Tag,Profile Version Major,420143,N,Y,Y
Tag,Profile Version Minor,420144,N,Y,Y
Tag,Protect Stop Date,420068,Y,Y,Y
Tag,Protection Level,420145,N,Y,Y
Tag,Protection Period,420146,N,Y,Y
Tag,Protection Storage Mask,42015E,N,Y,Y
Tag,Protection Storage Masks,42015F,N,Y,Y
Tag,Protocol Version,420069,Y,Y,Y
Tag,Protocol Version Major,42006A,Y,Y,Y
Tag,Protocol Version Minor,42006B,Y,Y,Y
Tag,Public Exponent,42006C,Y,Y,Y
Tag,Public Key,42006D,Y,Y,Y
Tag,Public Key Attributes,420128,N,Y,Y
Tag,Public Key Link,0x42019A,N,N,Y
Tag,Public Key Template-Attribute,42006E,Y,N,N
Tag,Public Key Unique Identifier,42006F,Y,Y,Y
Tag,Public Protection Storage Masks,420165,N,Y,Y
Tag,Put Function,420070,Y,Y,Y
Tag,Q,420071,Y,Y,Y
Tag,Q String,420072,Y,Y,Y
Tag,Qlength,420073,Y,Y,Y
Tag,Quantum Safe,420147,N,Y,Y
Tag,Quantum Safe Capability,420148,N,Y,Y
Tag,Query Function,420074,Y,Y,Y
Tag,Random IV,4200C5,Y,Y,Y
Tag,Random Number Generator,4200DE,N,Y,Y
Tag,Recommended Curve,420075,Y,Y,Y
Tag,Replace Existing,420124,N,Y,Y
Tag,Replaced Object Link,0x42019B,N,N,Y
Tag,Replaced Unique Identifier,420076,Y,Y,Y
Tag,Replacement Object Link,0x42019C,N,N,Y
Tag,Request Count,42014C,N,Y,Y
Tag,Request Header,420077,Y,Y,Y
Tag,Request Message,420078,Y,Y,Y
Tag,Request Payload,420079,Y,Y,Y
Tag,Reserved,420137,N,Y,Y
Tag,Response Header,42007A,Y,Y,Y
Tag,Response Message,42007B,Y,Y,Y
Tag,Response Payload,42007C,Y,Y,Y
Tag,Result Message,42007D,Y,Y,Y
Tag,Result Reason,42007E,Y,Y,Y
Tag,Result Status,42007F,Y,Y,Y
Tag,Revocation Message,420080,Y,Y,Y
Tag,Revocation Reason,420081,Y,Y,Y
Tag,Revocation Reason Code,420082,Y,Y,Y
Tag,Right,420150,N,Y,Y
Tag,Rights,42014D,N,Y,Y
Tag,RNG Algorithm,4200DA,N,Y,Y
Tag,RNG Mode,4200F5,N,Y,Y
Tag,RNG Parameters,4200D9,N,Y,Y
Tag,Rotate Automatic,0x42016B,N,Y,Y
Tag,Rotate Date,0x42016D,N,Y,Y
Tag,Rotate Generation,0x42016E,N,Y,Y
Tag,Rotate Interval,0x42016A,N,Y,Y
Tag,Rotate Latest,0x420172,N,Y,Y
Tag,Rotate Name,0x42016F,N,Y,Y
Tag,Rotate Name Type,0x420171,N,Y,N
Tag,Rotate Name Value,0x420170,N,Y,N
Tag,Rotate Offset,0x42016C,N,Y,Y
Tag,Salt,420084,Y,Y,Y
Tag,Salt Length,420100,N,Y,Y
Tag,Salted Password,0x4201A4,N,N,Y
Tag,Secret Data,420085,Y,Y,Y
Tag,Secret Data Type,420086,Y,Y,Y
Tag,Sensitive,420120,N,Y,Y
Tag,Serial Number,420087(deprecated as of version 1.1),Y,N,N
Tag,Server Correlation Value,420106,N,Y,Y
Tag,Server Hashed Password,420155,N,Y,Y
Tag,Server Information,420088,Y,Y,Y
Tag,Server Load,420130,N,Y,Y
Tag,Server Name,42012D,N,Y,Y
Tag,Server Port,4200EE,N,Y,Y
Tag,Server Serial Number,42012E,N,Y,Y
Tag,Server URI,4200ED,N,Y,Y
Tag,Server Version,42012F,N,Y,Y
Tag,Short Unique Identifier,420136,N,Y,Y
Tag,Shredding Algorithm,4200F4,N,Y,Y
Tag,Sign Counter,0x4201C0,N,N,Y
Tag,Signature Data,4200C3,Y,Y,Y
Tag,Signature Verify Counter,0x4201C1,N,N,Y
Tag,Split Key,420089,Y,Y,Y
Tag,Split Key Base Link,0x4201B4,N,N,Y
Tag,Split Key Method,42008A,Y,Y,Y
Tag,Split Key Parts,42008B,Y,Y,Y
Tag,Split Key Polynomial,0x4201B6,N,N,Y
Tag,Split Key Threshold,42008C,Y,Y,Y
Tag,State,42008D,Y,Y,Y
Tag,Storage Status Mask,42008E,Y,Y,Y
Tag,Streaming Capability,4200EF,N,Y,Y
Tag,Subject Alternative Name,4200B3,Y,Y,Y
Tag,Subject Distinguished Name,4200B4,Y,Y,Y
Tag,Submission Date,0x420174,N,Y,Y
Tag,Symmetric Key,42008F,Y,Y,Y
Tag,Tag,420138,N,Y,Y
Tag,Tag Length,4200CE,Y,Y,Y
Tag,Template,420090,Y,N,N
Tag,Template-Attribute,420091,Y,N,N
Tag,Ticket,420149,N,Y,Y
Tag,Ticket Type,42014A,N,Y,Y
Tag,Ticket Value,42014B,N,Y,Y
Tag,Time Stamp,420092,Y,Y,Y
Tag,Trailer Field,420104,N,Y,Y
Tag,Unique Batch Item ID,420093,Y,Y,N
Tag,Unique Identifier,420094,Y,Y,Y
Tag,Unwrap Mode,4200F2,N,Y,Y
Tag,Usage Limits,420095,Y,Y,Y
Tag,Usage Limits Count,420096,Y,Y,Y
Tag,Usage Limits Total,420097,Y,Y,Y
Tag,Usage Limits Unit,420098,Y,Y,Y
Tag,Username,420099,Y,Y,Y
Tag,Validation Authority Country,4200E1,N,Y,Y
Tag,Validation Authority Type,4200E0,N,Y,Y
Tag,Validation Authority URI,4200E2,N,Y,Y
Tag,Validation Certificate Identifier,4200E7,N,Y,Y
Tag,Validation Certificate URI,4200E8,N,Y,Y
Tag,Validation Information,4200DF,N,Y,Y
Tag,Validation Level,4200E6,N,Y,Y
Tag,Validation Profile,4200EA,N,Y,Y
Tag,Validation Type,4200E5,N,Y,Y
Tag,Validation Vendor URI,4200E9,N,Y,Y
Tag,Validation Version Major,4200E3,N,Y,Y
Tag,Validation Version Minor,4200E4,N,Y,Y
Tag,Validity Date,42009A,Y,Y,Y
Tag,Validity Indicator,42009B,Y,Y,Y
Tag,Vendor Extension,42009C,Y,Y,Y
Tag,Vendor Identification,42009D,Y,Y,Y
Tag,Wrapping Key Link,0x42019D,N,N,Y
Tag,Wrapping Method,42009E,Y,Y,Y
Tag,X,42009F,Y,Y,Y
Tag,X.509 Certificate Identifier,4200B5,Y,Y,Y
Tag,X.509 Certificate Issuer,4200B6,Y,Y,Y
Tag,X.509 Certificate Subject,4200B7,Y,Y,Y
Tag,Y,4200A0,Y,Y,Y
Ticket Type,Extensions,8XXXXXXX,N,Y,Y
Ticket Type,Login,00000001,N,Y,Y
Unique Identifier,Certify,00000002,N,Y,Y
Unique Identifier,Create,00000003,N,Y,Y
Unique Identifier,Create Credential,00000015,N,N,Y
Unique Identifier,Create Group,00000014,N,N,Y
Unique Identifier,Create Key Pair,00000004,N,Y,Y
Unique Identifier,Create Key Pair Private Key,00000005,N,Y,Y
Unique Identifier,Create Key Pair Public Key,00000006,N,Y,Y
Unique Identifier,Create Split Key,00000007,N,Y,Y
Unique Identifier,Create User,00000013,N,N,Y
Unique Identifier,Derive Key,00000008,N,Y,Y
Unique Identifier,Extensions,8XXXXXXX,N,Y,Y
Unique Identifier,ID Placeholder,00000001,N,Y,Y
Unique Identifier,Import,00000009,N,Y,Y
Unique Identifier,Join Split Key,0000000A,N,Y,Y
Unique Identifier,Locate,0000000B,N,Y,Y
Unique Identifier,Re-certify,0000000E,N,Y,Y
Unique Identifier,Re-key,0000000D,N,Y,Y
Unique Identifier,Re-key Key Pair,0000000F,N,Y,Y
Unique Identifier,Re-key Key Pair Private Key,00000010,N,Y,Y
Unique Identifier,Re-key Key Pair Public Key,00000011,N,Y,Y
Unique Identifier,Re-Provision,00000012,N,N,Y
Unique Identifier,Register,0000000C,N,Y,Y
Unwrap Mode,Extensions,8XXXXXXX,N,Y,Y
Unwrap Mode,Not Processed,00000003,N,Y,Y
Unwrap Mode,Processed,00000002,N,Y,Y
Unwrap Mode,Unspecified,00000001,N,Y,Y
Usage Limits Unit,Byte,00000001,Y,Y,Y
Usage Limits Unit,Extensions,8XXXXXXX,Y,Y,Y
Usage Limits Unit,Object,00000002,Y,Y,Y
Validation Authority Type,Common Criteria,00000003,N,Y,Y
Validation Authority Type,Extensions,8XXXXXXX,N,Y,Y
Validation Authority Type,NIST CMVP,00000002,N,Y,Y
Validation Authority Type,Unspecified,00000001,N,Y,Y
Validation Type,Extensions,8XXXXXXX,N,Y,Y
Validation Type,Firmware,00000004,N,Y,Y
Validation Type,Hardware,00000002,N,Y,Y
Validation Type,Hybrid,00000005,N,Y,Y
Validation Type,Software,00000003,N,Y,Y
Validation Type,Unspecified,00000001,N,Y,Y
Validity Indicator,Extensions,8XXXXXXX,Y,Y,Y
Validity Indicator,Invalid,00000002,Y,Y,Y
Validity Indicator,Unknown,00000003,Y,Y,Y
Validity Indicator,Valid,00000001,Y,Y,Y
Wrapping Method,Encrypt,00000001,Y,Y,Y
Wrapping Method,Encrypt then MAC/sign,00000003,Y,Y,Y
Wrapping Method,Extensions,8XXXXXXX,Y,Y,Y
Wrapping Method,MAC/sign,00000002,Y,Y,Y
Wrapping Method,MAC/sign then encrypt,00000004,Y,Y,Y
Wrapping Method,TR-31,00000005,Y,Y,Y
